@RELATION league

@ATTRIBUTE champ1, numeric
@ATTRIBUTE kills1, numeric
@ATTRIBUTE deaths1, numeric
@ATTRIBUTE assists1, numeric
@ATTRIBUTE goldEarned1, numeric
@ATTRIBUTE totalMinionsKilled1, numeric
@ATTRIBUTE neutralMinionsKilled1, numeric
@ATTRIBUTE wardsPlaced1, numeric

@ATTRIBUTE champ2, numeric
@ATTRIBUTE kills2, numeric
@ATTRIBUTE deaths2, numeric
@ATTRIBUTE assists2, numeric
@ATTRIBUTE goldEarned2, numeric
@ATTRIBUTE totalMinionsKilled2, numeric
@ATTRIBUTE neutralMinionsKilled2, numeric
@ATTRIBUTE wardsPlaced2, numeric

@ATTRIBUTE champ3, numeric
@ATTRIBUTE kills3, numeric
@ATTRIBUTE deaths3, numeric
@ATTRIBUTE assists3, numeric
@ATTRIBUTE goldEarned3, numeric
@ATTRIBUTE totalMinionsKilled3, numeric
@ATTRIBUTE neutralMinionsKilled3, numeric
@ATTRIBUTE wardsPlaced3, numeric

@ATTRIBUTE champ4, numeric
@ATTRIBUTE kills4, numeric
@ATTRIBUTE deaths4, numeric
@ATTRIBUTE assists4, numeric
@ATTRIBUTE goldEarned4, numeric
@ATTRIBUTE totalMinionsKilled4, numeric
@ATTRIBUTE neutralMinionsKilled4, numeric
@ATTRIBUTE wardsPlaced4, numeric

@ATTRIBUTE champ5, numeric
@ATTRIBUTE kills5, numeric
@ATTRIBUTE deaths5, numeric
@ATTRIBUTE assists5, numeric
@ATTRIBUTE goldEarned5, numeric
@ATTRIBUTE totalMinionsKilled5, numeric
@ATTRIBUTE neutralMinionsKilled5, numeric
@ATTRIBUTE wardsPlaced5, numeric

@ATTRIBUTE champ6, numeric
@ATTRIBUTE kills6, numeric
@ATTRIBUTE deaths6, numeric
@ATTRIBUTE assists6, numeric
@ATTRIBUTE goldEarned6, numeric
@ATTRIBUTE totalMinionsKilled6, numeric
@ATTRIBUTE neutralMinionsKilled6, numeric
@ATTRIBUTE wardsPlaced6, numeric

@ATTRIBUTE champ7, numeric
@ATTRIBUTE kills7, numeric
@ATTRIBUTE deaths7, numeric
@ATTRIBUTE assists7, numeric
@ATTRIBUTE goldEarned7, numeric
@ATTRIBUTE totalMinionsKilled7, numeric
@ATTRIBUTE neutralMinionsKilled7, numeric
@ATTRIBUTE wardsPlaced7, numeric

@ATTRIBUTE champ8, numeric
@ATTRIBUTE kills8, numeric
@ATTRIBUTE deaths8, numeric
@ATTRIBUTE assists8, numeric
@ATTRIBUTE goldEarned8, numeric
@ATTRIBUTE totalMinionsKilled8, numeric
@ATTRIBUTE neutralMinionsKilled8, numeric
@ATTRIBUTE wardsPlaced8, numeric

@ATTRIBUTE champ9, numeric
@ATTRIBUTE kills9, numeric
@ATTRIBUTE deaths9, numeric
@ATTRIBUTE assists9, numeric
@ATTRIBUTE goldEarned9, numeric
@ATTRIBUTE totalMinionsKilled9, numeric
@ATTRIBUTE neutralMinionsKilled9, numeric
@ATTRIBUTE wardsPlaced9, numeric

@ATTRIBUTE champ10, numeric
@ATTRIBUTE kills10, numeric
@ATTRIBUTE deaths10, numeric
@ATTRIBUTE assists10, numeric
@ATTRIBUTE goldEarned10, numeric
@ATTRIBUTE totalMinionsKilled10, numeric
@ATTRIBUTE neutralMinionsKilled10, numeric
@ATTRIBUTE wardsPlaced10, numeric

@ATTRIBUTE win, { True, False }

@data
106,14,9,10,16773,73,68,9,222,10,11,18,16786,170,19,7,14,6,11,12,15692,197,19,4,61,6,10,19,16822,225,26,9,63,4,12,20,14708,59,2,45,134,19,9,19,20756,205,22,9,122,12,7,11,19340,291,24,11,121,9,7,11,17070,73,112,11,133,11,8,8,20379,331,19,7,89,2,9,32,15151,62,1,39,False
13,8,3,11,18169,292,26,17,112,15,7,11,19476,268,26,5,104,14,5,10,21042,315,40,8,64,5,8,14,15158,29,102,35,89,3,10,16,12805,62,2,55,37,2,9,21,12401,16,1,28,150,5,8,9,13203,141,21,8,32,5,7,22,13830,27,65,18,222,12,12,8,17777,267,20,25,61,9,9,14,18099,300,16,8,True
58,10,9,9,18636,297,17,14,53,6,10,18,14029,34,0,26,63,4,6,16,14204,130,5,11,114,16,10,7,20891,198,88,12,104,10,10,9,18298,264,33,5,238,16,6,8,21977,360,11,5,37,1,10,23,13426,16,0,31,57,7,8,18,17092,224,12,4,21,11,12,13,19488,288,23,11,254,10,10,16,17070,70,70,5,False
62,4,12,9,13718,225,5,7,90,7,9,12,15042,228,11,4,105,14,11,8,16638,76,82,3,51,14,7,12,18335,245,29,16,43,0,12,18,11471,22,0,38,18,13,9,11,17888,240,23,11,57,6,8,23,14445,39,51,12,161,6,9,19,14990,113,1,26,25,11,6,19,18045,266,17,16,80,15,7,15,19145,275,7,9,False
15,12,7,15,18045,274,17,6,8,7,10,11,14438,211,7,7,64,18,4,12,19968,93,134,23,89,3,7,27,12830,46,0,39,74,9,14,10,13452,166,4,4,40,3,5,17,10959,12,0,23,429,6,9,12,13515,184,21,8,45,9,13,12,14136,199,0,3,59,4,11,9,12936,119,55,10,157,20,11,8,18284,233,21,12,True
64,9,10,19,16741,62,74,55,222,20,11,16,20284,250,3,6,412,3,8,18,11357,71,1,18,90,5,9,19,13100,134,0,2,92,16,9,10,18401,285,24,18,236,10,11,10,15898,180,19,6,25,10,12,17,17356,119,8,25,34,15,10,11,15644,132,4,11,74,7,10,16,16822,233,1,11,48,4,10,16,14331,82,60,8,False
85,14,6,18,16509,178,3,4,104,10,8,14,18457,280,34,8,412,2,9,29,13339,63,1,25,54,11,5,22,15114,100,1,11,254,17,11,14,18911,124,72,7,22,14,13,11,17437,222,16,5,432,2,7,22,13021,11,0,31,99,5,11,14,14546,231,2,6,23,9,13,13,16210,216,18,10,19,9,10,15,15218,44,67,9,True
25,3,12,15,11683,21,1,24,42,8,6,8,17160,305,16,10,77,12,5,8,17553,120,89,2,59,6,6,19,16603,231,7,41,63,8,5,12,14311,163,1,8,115,10,9,13,14443,200,5,12,112,4,14,9,12682,219,1,6,104,11,7,7,16112,280,9,17,111,8,2,18,15834,95,76,8,40,1,5,24,11456,14,0,40,True
15,13,5,19,18739,306,7,14,74,2,10,12,10674,138,3,7,25,3,6,22,13306,47,0,28,69,21,9,13,18119,181,26,10,41,13,9,14,17468,145,63,10,99,8,10,7,14302,285,8,6,5,5,12,7,11636,32,72,4,29,4,12,6,12081,214,3,6,62,21,12,9,17578,216,10,5,201,1,6,10,8236,45,2,11,True
103,10,10,19,15871,172,14,10,5,6,11,15,13937,143,27,9,28,7,9,15,15697,70,84,17,236,14,9,14,18599,221,47,12,412,6,7,25,14566,47,3,25,105,12,8,10,14354,42,65,14,119,17,14,8,19359,231,20,4,24,12,7,11,16881,242,14,6,127,5,6,14,15087,267,2,18,111,0,8,23,11147,72,0,21,False
113,5,7,9,12806,87,82,23,111,3,11,7,10420,57,2,19,8,8,8,4,13644,215,22,8,54,0,8,6,9729,166,3,11,81,6,6,6,12820,195,6,1,115,7,5,18,14983,219,14,9,254,10,5,11,16036,62,95,6,412,1,3,25,10544,52,0,32,51,6,5,18,15685,239,21,3,39,16,4,13,16410,231,1,8,False
80,14,11,5,13920,144,10,11,53,10,5,12,12139,37,1,11,81,2,2,5,9335,110,10,2,15,6,5,11,13430,195,13,3,102,5,4,4,14824,21,161,8,120,16,13,5,12588,109,0,7,103,3,4,3,11017,257,1,15,54,3,12,10,9005,43,1,13,222,4,9,6,10088,149,2,4,28,0,0,0,5144,0,18,2,True
114,20,5,2,18102,240,19,8,20,3,4,15,15092,74,120,9,21,9,8,13,14397,194,6,9,13,8,2,11,12830,141,9,11,117,1,6,18,11243,20,0,14,131,1,8,7,9323,52,54,4,266,2,7,4,10763,226,0,6,112,11,10,7,13191,204,5,8,429,8,8,9,12592,176,1,4,44,3,8,16,9824,42,0,16,True
53,2,8,18,11832,79,1,31,99,14,4,9,17182,255,8,19,5,7,9,12,14059,38,80,10,104,14,6,9,18259,267,22,19,75,6,5,17,15661,224,3,20,236,12,9,6,16696,254,20,6,9,9,15,15,13892,26,65,14,40,1,4,20,11274,22,0,47,92,4,10,4,13767,278,8,9,103,6,5,14,14585,222,4,11,True
64,2,0,1,6201,5,19,3,161,4,4,12,10006,43,3,13,63,6,4,8,10671,171,0,6,429,8,7,7,12461,200,5,5,41,5,10,9,11829,199,3,8,1,2,5,8,11910,209,3,12,106,11,4,3,14452,48,92,5,92,7,10,3,12638,185,24,5,51,5,2,6,13697,241,10,4,89,0,4,8,8165,29,1,23,False
10,7,2,12,14961,245,8,12,15,7,4,19,16544,253,25,10,31,7,5,18,13661,47,70,9,80,16,6,9,16222,186,16,8,40,2,2,19,10438,23,1,9,421,2,7,11,10527,68,54,8,63,7,8,4,11287,156,6,11,111,2,8,10,10535,105,6,27,23,2,9,3,13055,261,17,9,222,6,7,5,13019,223,3,3,True
111,2,5,9,11901,64,82,9,31,6,5,2,12528,206,8,10,157,4,7,5,13324,243,28,11,104,3,4,5,12958,221,20,1,412,1,9,7,8380,45,0,33,15,3,2,13,14956,270,24,2,42,10,3,16,16083,222,12,5,421,11,3,14,15276,68,84,12,40,1,2,21,10124,19,0,43,64,5,6,3,13663,265,18,13,False
131,11,9,12,14632,175,17,11,5,4,8,10,10570,31,59,5,429,3,4,6,11781,170,28,6,43,3,6,8,11033,189,1,7,222,7,7,11,11996,78,2,25,67,7,5,5,12266,153,27,4,103,8,7,9,13232,195,4,7,267,4,3,14,11006,29,1,24,76,9,8,7,14469,93,79,15,82,6,5,7,14955,305,9,10,False
104,11,8,7,13801,211,5,9,75,9,5,11,12119,129,3,2,89,2,6,20,9507,43,1,37,77,12,4,11,15116,66,89,2,90,3,5,5,9930,149,1,9,53,1,9,12,8716,54,0,21,50,8,8,10,11210,120,14,3,15,4,5,5,12404,227,18,4,8,7,8,4,12178,206,8,6,113,8,9,12,12751,30,62,0,True
99,7,8,12,12117,153,2,7,126,7,11,13,12886,172,1,6,80,9,10,18,14882,61,68,4,67,8,10,9,12461,156,8,9,89,3,7,18,9908,62,0,15,53,6,9,27,15134,42,5,36,75,8,5,14,14941,218,5,7,112,13,6,13,14628,154,4,1,421,6,10,11,12555,22,84,5,22,13,5,13,18169,229,18,7,False
4,3,13,9,11360,160,2,9,81,5,13,6,10501,147,4,3,41,8,8,8,13288,219,4,10,56,8,5,8,12018,62,71,9,99,3,9,6,10876,131,0,6,254,4,4,16,12741,35,62,8,429,23,4,5,19216,252,20,1,103,13,8,6,14542,183,14,6,25,4,4,22,12565,35,0,35,14,4,8,11,12314,176,5,14,False
412,2,7,28,12104,3,1,21,76,11,5,8,15368,79,92,4,67,20,9,6,18315,250,14,6,59,2,3,21,11701,127,1,8,74,17,6,5,15776,188,5,6,43,6,12,9,11104,63,2,6,50,4,9,9,9284,85,5,5,11,5,8,8,13118,84,95,15,236,9,13,6,12677,175,1,8,127,6,10,14,13408,176,1,12,True
59,7,5,12,12941,193,8,6,42,6,9,6,10724,131,3,4,103,8,10,6,11405,160,0,3,412,3,5,16,9142,9,0,17,32,5,10,15,11503,66,48,4,106,5,10,12,9958,44,1,22,76,12,6,14,14656,153,24,9,13,9,6,10,14279,196,2,7,51,11,4,13,15915,219,16,9,75,2,3,16,14027,96,82,8,False
22,10,6,13,15460,208,19,7,113,11,4,12,12886,45,60,2,89,3,7,16,9709,43,0,26,143,9,6,18,14968,188,12,20,85,8,5,11,12615,191,9,9,28,10,9,3,13497,210,9,9,68,6,7,7,12049,196,0,7,25,0,9,14,8865,16,0,31,76,8,7,6,15050,68,119,3,222,4,9,12,12395,205,4,4,True
222,10,8,17,16683,235,4,6,31,5,3,6,14455,262,16,9,103,14,4,11,14475,150,3,4,48,14,9,11,16364,43,97,8,412,3,9,24,12058,25,0,8,86,12,9,3,15103,253,12,13,111,5,7,15,13993,54,90,10,51,6,11,7,10389,131,1,11,89,6,13,9,10663,63,0,9,50,4,6,8,10078,121,1,9,True
76,5,10,7,11711,47,81,13,23,8,9,2,14439,250,2,5,4,4,8,9,11239,150,1,6,1,0,9,9,7332,10,1,21,222,8,8,3,12031,170,3,4,120,17,6,6,16168,266,3,4,112,13,3,15,15254,190,10,10,77,8,6,8,12509,25,70,12,104,4,4,8,12495,233,2,8,25,1,6,14,8336,52,0,8,False
51,4,4,5,10425,196,0,9,69,2,10,0,7310,99,10,11,154,2,4,7,8992,35,64,9,102,2,7,3,8264,143,8,6,20,4,5,4,7813,32,0,10,17,2,5,9,7684,17,0,6,36,5,3,10,10484,165,0,5,1,20,2,3,15440,218,1,10,110,2,3,12,10502,161,3,2,9,1,1,6,8964,27,63,7,False
104,14,6,11,14583,218,14,4,41,9,5,10,12593,172,1,12,7,12,3,12,11556,98,3,7,2,14,6,16,14139,68,69,8,40,0,9,31,10089,4,0,29,131,8,11,8,11001,114,4,5,11,10,10,5,12682,67,62,3,89,3,8,13,7831,35,1,33,222,6,13,9,9968,123,3,3,54,2,7,8,8721,113,0,2,True
51,5,8,5,11469,184,9,7,14,3,5,5,12607,128,82,14,134,1,8,4,10119,200,7,6,412,3,8,9,8100,33,0,12,98,3,12,2,8543,125,1,15,105,17,1,7,14683,47,86,9,69,9,2,12,12542,203,14,3,54,2,3,25,11444,155,0,4,222,7,6,11,12089,178,11,6,89,6,3,14,10155,37,0,23,False
6,5,6,6,10643,147,5,1,222,17,6,8,16688,238,27,9,34,9,4,12,13653,188,15,7,40,0,5,18,9557,21,2,36,54,6,1,16,12223,27,73,10,161,5,8,7,9917,39,1,28,51,3,5,4,11493,238,12,11,1,9,8,2,10871,155,7,7,9,1,7,9,9195,37,52,8,79,4,9,3,9897,155,12,7,True
81,6,2,6,12330,193,20,11,20,3,2,7,10995,20,79,4,432,2,4,13,9198,9,0,19,11,12,8,3,14398,235,13,4,101,4,4,6,10713,177,9,9,119,11,7,2,15029,259,4,6,59,5,3,4,9407,73,44,4,57,1,8,3,6553,89,5,3,1,3,2,1,7431,118,0,4,89,0,7,14,7422,43,0,34,True
201,2,4,11,8383,47,1,20,29,12,6,6,13676,162,16,5,39,7,0,6,11627,163,6,3,106,11,3,13,12931,41,49,3,4,2,6,11,11914,153,9,7,105,6,7,4,10073,37,65,7,150,0,6,2,7279,141,5,5,25,4,5,7,9074,30,0,12,51,2,7,7,9895,180,5,6,103,7,9,4,10374,174,4,7,True
25,1,1,9,8165,28,1,23,92,2,7,1,9076,145,19,6,33,6,9,5,9582,50,45,8,6,3,11,3,7508,95,0,5,104,5,13,2,11458,213,14,1,105,10,1,6,12177,31,67,10,59,9,4,9,12049,164,5,9,13,14,5,9,13722,154,9,6,89,0,2,15,8725,64,2,17,67,7,7,7,11816,202,5,4,False
84,5,6,5,9475,159,0,16,86,4,4,1,9447,186,3,11,76,4,6,4,8838,37,67,7,412,0,10,6,6138,26,0,17,15,4,9,9,10277,171,0,4,99,6,4,9,11200,180,0,2,119,11,6,10,12802,146,4,4,5,13,3,7,13566,34,92,8,14,4,2,7,10472,181,8,3,40,1,3,20,9039,12,0,30,False
69,2,5,4,8385,164,5,7,67,5,9,1,10697,242,2,0,40,0,5,3,6294,23,0,12,59,1,7,6,7624,27,58,13,39,4,9,3,9203,163,4,8,81,8,2,10,11888,184,10,1,11,8,2,4,13584,61,114,7,55,15,1,7,13551,168,5,14,44,0,0,22,9888,16,0,22,75,4,7,10,10543,163,1,8,False
157,17,4,4,13711,178,15,6,412,2,5,15,8733,14,2,3,222,8,3,3,9474,111,1,6,41,6,5,6,8971,92,0,4,120,3,2,5,9026,35,56,7,201,2,8,5,5131,5,0,10,17,5,8,3,7686,116,0,2,6,2,6,1,6181,92,1,7,236,8,5,7,10166,138,4,2,57,2,9,4,6939,42,37,10,True
83,2,8,1,5448,74,0,0,51,1,6,2,5396,62,2,3,268,1,6,2,4729,42,4,0,77,5,6,1,8115,37,58,2,19,1,1,1,5980,77,18,0,15,2,4,12,8081,71,1,6,238,2,4,1,7922,47,55,4,82,9,1,10,12466,222,9,5,25,7,1,10,8749,23,1,6,99,7,1,6,8268,87,0,0,False
120,2,6,1,7731,166,4,16,412,1,2,2,5057,41,1,25,254,1,5,0,8133,37,81,4,7,2,7,3,6862,118,1,6,104,2,3,2,8908,207,1,6,81,3,2,9,10102,186,2,5,32,3,1,6,10461,213,6,6,31,8,3,5,10028,146,8,8,16,0,2,12,6704,6,0,16,56,9,0,6,12834,71,93,5,False
67,1,3,1,5668,123,4,3,24,0,5,0,4854,109,3,2,112,2,5,0,5280,104,0,8,11,0,3,1,4446,5,41,5,267,1,1,1,4088,16,0,13,254,4,1,1,7730,12,78,4,40,0,0,7,4630,17,0,13,114,7,0,0,8165,152,0,5,429,3,2,2,6554,113,4,5,103,3,1,4,6955,123,4,4,False
86,3,2,1,9788,223,4,3,119,1,8,4,7481,112,6,6,34,1,7,1,5780,78,0,4,16,0,3,3,4561,9,0,21,106,3,6,2,8959,47,74,8,1,10,1,8,11633,157,7,13,14,2,2,7,8938,142,11,4,51,5,1,10,10314,160,1,5,9,6,3,13,9989,21,67,6,127,3,2,17,9628,67,8,22,False
41,6,3,16,13803,192,1,12,34,10,2,5,12451,174,11,7,59,7,1,13,12365,38,70,7,63,2,5,11,8125,20,3,22,51,5,4,5,11380,202,5,4,222,1,7,5,9154,182,4,3,254,1,7,8,9493,49,74,12,103,6,5,1,10017,169,9,7,80,6,7,1,10240,185,6,10,12,1,4,8,7133,57,0,22,True
25,4,7,22,12003,11,0,20,127,5,6,15,12389,144,1,7,35,3,6,4,9652,14,65,8,222,21,7,9,17753,194,13,3,61,7,4,5,12077,172,1,9,80,11,6,9,12101,75,48,8,37,3,10,11,8727,9,0,13,79,4,10,9,9346,130,1,6,114,8,7,7,11385,181,9,4,429,4,7,12,11751,187,10,9,True
14,2,3,5,9807,215,1,10,25,0,1,13,7878,4,2,22,222,7,2,4,10240,161,11,3,55,7,2,4,9623,138,12,11,59,7,4,6,10444,65,50,3,105,3,5,2,8127,24,54,11,120,2,4,0,8544,179,9,5,37,0,5,4,5703,9,0,16,90,3,4,5,9934,203,12,4,42,3,5,2,8669,169,5,7,True
104,10,6,12,10766,101,24,1,412,5,2,23,10055,61,0,4,131,12,8,8,10404,100,1,2,80,9,5,9,10102,109,1,5,32,11,2,13,13486,57,85,7,42,3,7,7,7503,87,3,8,113,6,7,8,10016,54,43,5,103,7,13,5,7587,58,4,2,24,7,11,2,9348,152,0,6,25,0,9,12,7036,29,0,13,True
23,8,5,2,11277,174,4,7,63,6,5,3,9813,172,1,1,105,7,9,5,9801,24,58,7,22,1,7,4,8852,170,0,5,201,0,3,8,7188,34,0,10,89,3,3,10,8683,39,0,12,76,3,4,6,9483,129,3,11,51,8,2,7,11431,142,8,5,5,12,7,6,12440,46,51,9,24,3,6,2,10303,178,9,8,False
89,0,7,7,5597,25,0,16,8,3,4,2,7981,127,7,7,154,2,3,6,8433,27,78,9,91,8,9,3,10036,148,2,7,236,3,6,4,8938,191,2,2,127,9,2,6,11096,177,17,15,39,2,5,10,9680,182,2,6,81,5,3,13,10362,151,4,8,35,9,4,6,11216,66,48,6,25,4,2,17,9597,23,0,16,False
429,0,5,4,9381,235,11,1,68,0,2,2,6490,112,9,7,53,1,6,3,6129,46,2,14,7,5,3,3,8892,152,4,1,56,4,8,1,8689,30,64,3,104,5,0,5,11265,187,11,5,89,0,2,14,7816,41,0,16,112,5,4,6,10295,162,2,8,77,4,3,9,13286,41,113,13,1,10,1,3,13376,249,3,9,False
92,9,5,4,11185,176,3,3,80,10,4,5,10432,26,49,6,1,10,6,8,12165,187,4,3,222,11,3,12,13207,166,18,1,53,4,4,16,9769,18,1,13,43,4,8,5,7830,131,8,7,119,2,11,7,8057,116,2,4,64,8,4,9,10719,35,55,7,432,3,11,8,7557,14,0,15,120,5,10,5,8164,115,3,6,True
105,0,6,4,7738,151,1,5,201,1,10,5,6160,41,0,14,55,5,8,3,9021,157,0,2,77,4,5,1,8774,38,68,5,236,4,8,3,9457,156,17,0,19,8,1,11,12747,46,87,3,222,14,6,10,14254,211,9,2,99,9,4,14,12400,166,4,9,86,4,2,4,10597,195,5,12,267,2,1,29,11457,22,0,14,False
102,1,0,2,6542,17,53,7,25,1,3,2,4616,8,0,9,17,2,1,1,6846,120,3,3,8,4,1,4,7445,117,1,6,236,2,1,1,6699,123,0,3,4,0,0,0,2989,0,0,0,120,2,3,0,6293,118,0,4,22,4,4,0,5983,80,0,0,99,0,0,4,4566,28,0,12,59,0,3,4,5645,34,38,4,True
25,1,3,2,4124,22,0,9,13,3,5,0,4967,73,1,5,222,1,5,1,4113,69,0,3,126,1,3,0,3849,60,0,3,32,0,3,2,5059,25,50,2,201,1,2,10,5717,25,0,8,64,6,0,7,7699,19,34,5,57,1,1,3,5274,62,0,6,131,6,2,1,7677,131,0,1,51,5,1,6,6794,89,2,2,False
222,6,1,1,7302,115,5,1,2,2,2,4,5675,19,43,2,103,1,0,3,5378,104,1,3,25,2,2,6,4950,5,0,9,68,6,1,4,6687,87,0,4,104,1,4,2,3857,57,0,2,1,1,1,0,5270,121,2,4,53,1,2,1,3478,25,0,4,79,0,3,3,4372,6,40,2,84,3,7,0,4418,65,0,1,True
161,5,6,14,16254,90,1,25,106,6,11,20,17629,94,38,0,31,18,13,7,21888,277,7,7,81,7,15,13,19724,285,14,20,45,11,10,12,19377,242,1,7,222,12,7,9,24068,453,11,15,19,20,14,9,22424,149,90,15,17,9,11,11,19613,321,6,8,37,1,7,16,14282,56,1,33,238,13,8,9,19808,247,27,20,True
98,9,10,27,19161,216,11,13,67,14,11,18,20112,255,8,13,40,1,7,34,15329,28,0,33,72,8,17,24,18710,139,52,12,61,19,13,20,22581,246,8,19,55,15,12,13,20156,248,8,41,121,7,12,16,20260,291,7,4,161,3,8,22,16045,132,3,26,81,22,10,17,23361,244,29,12,111,11,9,24,19931,77,93,6,True
25,17,10,18,18424,180,13,9,57,5,8,25,19032,295,8,23,32,8,12,26,20342,138,88,1,1,5,14,15,13289,96,6,18,15,16,15,16,21868,308,15,6,80,12,9,17,21652,108,120,35,62,2,12,27,16954,71,70,14,91,17,13,14,22242,294,38,21,78,15,9,14,20787,243,20,8,81,13,10,24,21053,229,5,12,False
111,7,8,17,13381,76,9,12,4,14,14,11,18732,221,4,12,41,4,15,10,16346,258,17,3,11,7,18,7,17000,161,68,5,21,11,17,15,17200,194,7,11,429,21,10,18,21070,215,33,11,12,8,6,23,16412,152,1,11,201,1,11,31,12568,32,0,18,101,21,6,11,19613,230,6,13,32,21,12,16,21652,157,86,12,False
55,16,13,11,16938,171,5,6,31,9,11,23,17628,197,18,5,236,10,11,17,18137,222,20,14,113,6,10,27,17908,126,58,14,89,2,13,28,13402,88,1,32,54,10,6,26,16351,172,4,2,1,13,10,18,17469,208,0,5,53,2,11,37,15577,44,2,31,222,21,8,19,21954,305,17,14,72,12,8,27,19838,129,88,9,True
101,7,8,16,16074,262,22,8,57,11,11,16,15448,196,2,2,42,11,6,14,16244,228,24,10,254,6,7,13,13312,23,84,22,16,0,12,24,10328,13,0,45,31,2,5,19,14330,91,78,9,18,12,8,9,19507,317,21,4,8,18,7,10,20247,279,14,11,238,11,7,12,15249,203,16,4,412,1,8,27,13169,82,0,51,False
86,13,4,2,15376,260,1,13,42,2,7,4,10762,194,4,2,106,4,10,7,11659,50,57,2,1,4,10,4,9255,46,0,27,20,7,6,6,11685,138,2,2,4,3,13,14,12036,138,13,13,55,12,6,15,12859,79,13,8,113,10,2,19,15843,138,73,4,53,1,5,20,9388,21,0,24,21,11,5,13,14854,196,4,13,False
19,8,4,11,12685,83,59,10,74,3,6,2,11169,211,6,7,69,9,13,7,11872,151,18,8,51,6,2,9,12745,228,5,4,412,1,13,16,9242,22,0,20,104,16,4,8,16528,236,20,6,111,3,6,16,11886,79,45,16,99,11,2,9,14620,253,2,9,53,1,9,21,10506,20,0,23,120,7,6,8,11329,133,4,12,False
77,21,3,6,22377,199,95,4,31,11,9,15,18292,277,17,3,89,0,15,20,10858,52,4,28,222,10,11,12,17246,253,18,3,83,7,6,14,17961,96,118,1,113,5,9,21,14904,90,68,2,4,18,7,18,17813,175,4,8,104,13,8,12,17877,275,10,4,412,2,11,24,11345,32,0,52,150,6,14,17,14242,205,10,9,True
127,4,12,15,13569,185,0,6,120,17,8,11,16852,39,82,0,89,3,9,22,11608,36,0,39,236,8,16,13,14822,170,27,9,41,19,8,10,20193,263,1,10,25,2,11,23,12865,39,0,15,5,8,11,8,15433,217,25,3,36,14,5,19,16670,70,48,6,90,10,10,12,15424,196,5,16,81,19,14,14,16249,109,16,10,False
222,14,5,16,18816,246,30,4,77,7,1,12,14657,75,84,2,432,2,5,32,12673,16,0,46,115,12,2,11,15930,242,23,5,39,7,3,6,14273,250,1,8,67,6,12,1,12702,218,15,5,412,1,10,11,8567,43,0,26,90,2,6,3,11247,215,12,12,32,3,9,6,11050,64,67,17,75,4,5,1,12765,269,6,10,True
104,10,6,9,15529,235,7,9,62,6,10,8,13722,187,19,13,20,9,3,13,14097,62,61,3,103,8,6,9,15939,253,26,15,412,5,4,14,11435,54,0,32,69,9,8,9,15724,268,5,15,51,4,8,7,14005,262,2,4,14,10,4,9,14621,74,84,4,150,5,10,8,12783,208,11,13,25,1,8,11,9298,36,7,16,True
222,16,12,6,17228,245,10,8,53,0,7,22,11866,74,0,24,48,3,11,7,10873,150,0,9,131,8,11,9,12830,78,57,11,7,11,10,11,13143,153,0,12,10,19,7,13,16864,163,20,9,29,16,6,10,16761,190,21,4,154,6,5,15,12774,159,3,24,412,1,15,28,10483,20,2,10,102,8,5,23,16536,71,95,14,False
36,6,6,9,10385,132,0,9,67,7,14,7,11024,136,7,6,25,4,16,7,8299,72,0,6,74,3,3,6,8539,99,0,4,254,7,12,2,10566,77,37,3,238,20,7,13,16481,174,6,12,81,7,8,8,11339,120,1,4,106,11,0,14,13962,59,50,5,115,3,5,11,10565,98,0,6,83,10,7,18,14324,111,18,3,False
77,1,2,3,9091,33,66,3,101,5,8,7,11599,187,4,4,50,2,7,6,10960,195,5,13,51,13,6,5,17588,304,22,11,111,1,4,18,11241,101,0,33,81,3,9,11,12567,160,10,1,14,3,1,6,11128,147,0,11,157,12,4,8,20330,373,15,6,89,3,5,9,9321,36,0,30,32,6,3,9,15912,111,87,9,False
106,5,3,15,13148,34,82,10,55,9,7,5,13060,160,18,9,51,12,3,9,15609,216,10,7,267,2,1,22,11195,17,2,22,75,5,3,13,14691,242,0,5,113,2,8,9,11083,72,79,7,133,9,5,4,13701,235,3,4,89,1,8,12,8363,63,0,18,14,1,7,6,9265,165,3,10,99,4,6,5,10316,175,0,10,True
412,2,11,11,9351,26,0,27,10,4,7,7,13530,223,24,16,222,7,6,6,16413,330,24,7,106,8,5,10,13673,118,52,11,83,7,5,6,12283,199,0,13,238,10,6,1,17445,311,14,17,421,12,3,7,18792,93,137,14,82,4,5,8,15364,272,29,14,119,6,9,8,15932,250,11,1,63,2,5,9,10331,26,5,26,False
120,5,4,8,13626,248,1,6,67,9,6,8,15613,265,21,4,35,3,4,5,11929,72,75,8,9,7,8,5,11374,138,14,9,89,0,4,12,9376,92,0,26,104,4,5,6,12196,246,15,8,14,5,2,15,12489,230,4,5,60,8,8,12,11006,36,49,11,38,5,2,11,11210,168,9,8,412,4,7,16,9287,40,0,17,True
64,3,6,26,14162,9,84,21,54,7,4,19,14590,209,4,14,143,7,4,23,13416,39,6,18,30,6,6,17,12459,135,5,4,51,18,3,14,19393,281,16,4,44,0,7,10,9193,75,0,30,42,7,6,4,13988,276,5,6,127,6,9,7,11406,156,3,9,14,4,11,9,12459,77,103,6,105,6,8,8,13010,206,1,7,True
